"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
7,"no-gap","decl-comp",-0.5,0.845516204833986,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
7,"no-gap","wh-comp",-0.5,-0.160646438598635,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
7,"no-gap","wh-comp",-0.5,0.135852575302124,0.0700725223257429,"Wh","English","English - Wh","LSTM"
7,"no-gap","wh-comp",-0.5,0.262242317199705,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
7,"gap","zero-comp",0.5,-2.67343485355377,0.149602162815389,"Wh","English","English - Wh","LSTM"
7,"gap","zero-comp",0.5,-1.77451276779175,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
7,"gap","zero-comp",0.5,-1.23779249191284,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
7,"gap","decl-comp",0.5,-3.64432775974274,0.102262478966382,"Wh","English","English - Wh","LSTM"
7,"gap","decl-comp",0.5,-1.10471868515015,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
7,"gap","decl-comp",0.5,-0.48690938949585,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
7,"gap","wh-comp",0.5,-1.43277025222778,0.0700725223257429,"Wh","English","English - Wh","LSTM"
7,"gap","wh-comp",0.5,-1.19279527664185,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
7,"gap","wh-comp",0.5,-0.611492156982422,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
8,"no-gap","zero-comp",-0.5,0.106904983520508,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
8,"no-gap","zero-comp",-0.5,0.546842575073242,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
8,"no-gap","zero-comp",-0.5,2.76120615005493,0.149602162815389,"Wh","English","English - Wh","LSTM"
